model,parameter_value,a,b,K0,n,n_over_n0,eps,mu_b,P,dP_dn,d2eps_dn2,vs2,quark_fraction,n_q,n_n,k_bu,k_f,label,target_k0,energy_per_baryon_minus_mn
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.21882129496402875,1.3676330935251797,202.29161784010776,943.5257006921131,4.143063563681467,117.62821985766482,539.4145473328344,0.12466880316177917,1.6092099733945597e-05,3.521294102472278e-06,0.21881777366992627,0.01756704453621043,1.827302096621403,k0_315,315.0,-13.539618420767624
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.22457553956834528,1.403597122302158,207.72982587915172,946.7507241710102,4.854267453294084,130.1049699767958,581.5052955532566,0.137422625254095,3.874729242318668e-05,8.701694102749605e-06,0.22456683787424253,0.02761511099158847,1.8576541431139109,k0_315,315.0,-13.01134683488931
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.23032978417266184,1.4395611510791364,213.1872883324954,950.2263424081765,5.6403752066489545,143.72475102555356,626.5136456502755,0.1512531747555106,7.21677081175939e-05,1.662237263496106e-05,0.23031316180002687,0.038166937928852424,1.8884400362345681,k0_315,315.0,-12.42587549735174
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.23608402877697837,1.4755251798561149,218.6654954865151,953.9703511991127,6.5083221994851455,158.62269429066652,674.7896698631362,0.16627633562330577,0.00011853394820585312,2.798397203927949e-05,0.23605604480493908,0.04952102730589134,1.9197001885474971,k0_315,315.0,-11.781074394143047
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.24183827338129493,1.5114892086330933,224.1660458246263,958.0026924446239,7.465882772137396,174.95865760432915,726.7292167301499,0.1826285656440808,0.00017908222891448047,4.3308937033951767e-05,0.241794964444261,0.06160498348146429,1.9514781631981317,k0_315,315.0,-11.074568841325004
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.2475925179856115,1.5474532374100718,229.69065913435554,962.3457404863375,8.521832022481505,192.925325129466,782.781879983074,0.20047402613531387,0.00025563242859868394,6.32926766755252e-05,0.24752922530893598,0.07447208904507374,1.9838192456727997,k0_315,315.0,-10.303714978561288
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.253346762589928,1.58341726618705,235.24119139398732,967.0246388403264,9.686161794461881,212.7588160751438,843.4605465133596,0.22001385231537438,0.00035130953380931945,8.900313305756794e-05,0.25325775945687046,0.08830925737036378,2.01676981460743,k0_315,315.0,-9.4655715780616
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.25910100719424456,1.6193812949640285,240.81965175493173,972.0676968908264,10.970364561323844,234.75074713677787,909.3526886840585,0.2414962948441058,0.00046869744654702615,0.00012143998046970507,0.25897956721377485,0.1031496493183363,2.0503798320424225,k0_315,315.0,-8.556867521582262
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.2648552517985611,1.655345323741007,246.42822199371625,977.5068562767059,12.387788234604052,259.258781293555,981.1332951058228,0.2652245144152378,0.0006117966465556979,0.00016203755487302466,0.2646932142436881,0.11914447040408671,2.0847007556381634,k0_315,315.0,-7.57396419256122
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.2706094964028777,1.6913093525179854,252.06927886175708,983.378228909078,13.954041448084096,286.71062654194293,1059.5768366698044,0.2915568172177339,0.0007844961440316219,0.0002122921064663966,0.2703972042964113,0.13636633320171637,2.1197877188830447,k0_315,315.0,-6.512811958078146
clausius,3.5073713953624717,436.714809276499,2.1436242133464485,315.00000015594054,0.27636374100719424,1.7272733812949639,257.7454197291211,989.7226818791906,15.687394386162444,317.59537324690774,1145.56159812966,0.3208932957299595,0.0009924359355571613,0.00027427330786055184,0.2760894676993337,0.1549887573206015,2.1556974094910015,k0_315,315.0,-5.368900168377877
